Subject,Year,URL,Understanding of the learning area,Description/Achievement,Content description,Page count WRT PDF's,Count of pages(330 words per page)
Science,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,384,32068,82,116
Science,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,413,33563,86,120
Science,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,490,42961,110,149
Science,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,494,52576,131,178
Science,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,493,56441,141,190
Science,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,511,58390,149,196
Health and Physical Education,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,337,3747,24,29
Health and Physical Education,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,392,4905,26,32
Health and Physical Education,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,392,4905,26,32
Health and Physical Education,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,381,7407,34,40
Health and Physical Education,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,381,7411,34,40
Health and Physical Education,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,402,9037,37,45
Health and Physical Education,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,402,9037,37,45
Health and Physical Education,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,439,9763,39,47
Health and Physical Education,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,439,9763,39,47
Health and Physical Education,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,498,10284,41,49
